iter	RMSE
0	426.7937431
1	423.6114396
2	420.63524
3	418.393301
4	416.1575933
5	414.019949
6	411.7588996
7	407.1885103
8	405.1157164
9	402.5457819
10	400.578568
11	398.8345555
12	397.3572395
13	395.5429151
14	394.2791765
15	393.0395793
16	391.8635247
17	390.7901455
18	389.6014753
19	385.7240625
20	384.8461481
21	381.9569517
22	381.0596546
23	380.043518
24	379.1577168
25	377.7923477
26	377.1411635
27	376.3533855
28	375.5298029
29	373.2374655
30	372.6007624
31	372.0104826
32	369.493865
33	368.8402515
34	367.8732163
35	366.6345187
36	363.2131259
37	362.727276
38	359.3479376
39	358.8867287
40	358.1963741
41	357.9279877
42	357.2632366
43	356.8616208
44	356.2671486
45	355.7427899
46	355.3366937
47	355.0527594
48	351.7971854
49	349.288519
50	348.1729914
51	347.9933528
52	347.6454693
53	347.2880813
54	346.8806898
55	343.8306731
56	340.7186512
57	338.8528153
58	338.386061
59	338.0147685
60	337.1423699
61	337.01011
62	335.0213065
63	334.6882845
64	334.5648176
65	334.2961732
66	333.6206781
67	333.3373978
68	330.4612324
69	327.5765646
70	327.2724291
71	324.5265145
72	321.7980011
73	321.6010094
74	320.3771294
75	317.7747349
76	317.0808334
77	316.8897669
78	316.1232979
79	313.5435347
80	310.9997462
81	308.498271
82	308.2141466
83	306.2437557
84	304.5849534
85	304.5428525
86	304.3379587
87	302.6421274
88	302.4172018
89	300.4721841
90	298.9017179
91	297.0802451
92	296.941037
93	294.6546736
94	294.5772409
95	294.4627301
96	292.9485425
97	292.4783245
98	290.2571676
99	289.9821693
100	289.7688444
101	287.9201738
102	287.7870185
103	287.6325931
104	285.4617069
105	283.3065826
106	283.1580804
107	281.0547551
108	278.8618569
109	276.7541674
110	276.5892529
111	275.0738803
112	274.8172954
113	272.8437448
114	272.7159798
115	270.7368494
116	269.1694484
117	267.271172
118	265.4059704
119	264.3493304
120	264.2062842
121	262.8143054
122	261.0368442
123	260.8856782
124	260.719931
125	259.3029038
126	259.005106
127	257.6022916
128	257.4012555
129	257.2227721
130	257.0201865
131	256.9697314
132	256.8210026
133	256.6988229
134	254.9771499
135	254.85781
136	253.728854
137	253.6484995
138	251.9745288
139	251.8569022
140	251.6685757
141	250.0077575
142	249.8380512
143	248.2251119
144	248.0943852
145	247.4431027
146	247.2571054
147	247.0759371
148	246.923684
149	246.8009338
150	246.6188287
151	245.0272424
152	244.7694247
153	243.2083727
154	242.3136812
155	240.7928589
156	239.5906736
157	239.4948014
158	238.2935577
159	238.1561957
160	236.7140896
161	235.3029894
162	233.8673152
163	233.5152805
164	233.3392019
165	233.1573962
166	233.0465076
167	231.6696286
168	231.4289986
169	231.2998078
170	229.9118692
171	229.8174406
172	228.4942338
173	228.3745494
174	228.2459397
175	226.9287837
176	226.8583655
177	225.5887669
178	225.5032773
179	225.3059625
180	225.0634099
181	223.8015952
182	223.6016721
183	222.3710089
184	222.1680205
185	222.0644876
186	221.417605
187	220.2089519
188	219.0186524
189	218.8592174
190	217.9600078
191	217.7854493
192	217.6154042
193	217.5473345
194	217.3930122
195	217.1948348
196	216.0459128
197	215.9521901
198	215.8175865
199	214.699568
200	213.577318
201	212.7516522
202	212.5660317
203	212.5118686
204	212.4695364
205	212.3624147
206	211.5737483
207	211.4843674
208	211.3781374
209	211.2796728
210	211.1707295
211	210.6217444
212	209.5756474
213	208.5465221
214	208.4903224
215	207.9021232
216	206.9050253
217	206.7696218
218	205.7970613
219	204.8401711
220	204.6960003
221	204.5859483
222	204.4318423
223	204.2921013
224	203.758534
225	202.8161811
226	201.9018404
227	201.6953588
228	200.8002295
229	200.6824006
230	199.8020653
231	199.0610068
232	198.9914199
233	198.8460975
234	198.6518073
235	198.6168801
236	197.7636339
237	197.6195688
238	196.7836308
239	196.6395232
240	196.4677066
241	196.3304543
242	195.997846
243	195.7778719
244	195.635948
245	194.8169972
246	194.6052003
247	194.4382903
248	194.3081802
249	194.271663
250	193.4687479
251	192.6801736
252	191.8318365
253	191.706011
254	190.9393488
255	190.7777376
256	190.6782118
257	190.581575
258	190.3859005
259	190.1929975
260	189.4478823
261	189.3483977
262	189.2189879
263	188.478403
264	188.3163611
265	188.2784598
266	188.0798481
267	187.3598462
268	187.208877
269	186.9392523
270	186.6098478
271	186.5107778
272	186.3945427
273	185.6773462
274	185.5509093
275	185.1775195
276	184.4865804
277	183.8192141
278	183.6751735
279	183.0205779
280	182.9572452
281	182.7992053
282	182.6852758
283	182.3524079
284	181.712955
285	181.595596
286	180.8979379
287	180.8646958
288	180.8124281
289	180.1884957
290	180.1563086
291	179.5507202
292	178.8932114
293	178.7547654
294	178.1663243
295	178.0611867
296	177.4845269
297	176.9258772
298	176.7469054
299	176.1966148
300	176.1124776
301	175.9878832
302	175.8216189
303	175.7033272
304	175.5721592
305	175.0275066
306	174.565291
307	174.4255847
308	173.8893609
309	173.7274229
310	173.1565513
311	173.0402053
312	172.4710571
313	172.2655224
314	171.7690098
315	171.7310497
316	171.6389697
317	171.6027043
318	171.5338229
319	171.4551502
320	171.3629761
321	171.1620206
322	170.6575488
323	170.1847989
324	170.0905374
325	170.0549944
326	169.8843683
327	169.3663271
328	168.9102022
329	168.7745361
330	168.6287638
331	168.5442299
332	168.3971854
333	168.0023465
334	167.9370846
335	167.7863223
336	167.6962531
337	167.4984824
338	167.3460328
339	167.2217001
340	167.0939947
341	166.9063149
342	166.5432682
343	166.4647049
344	166.1133291
345	165.6836853
346	165.6096297
347	165.386094
348	165.337369
349	165.1915348
350	164.976078
351	164.8600684
352	164.7901482
353	164.672825
354	164.5306629
355	164.354926
356	164.1785157
357	164.111617
358	163.9350088
359	163.7774835
360	163.7063103
361	163.6060818
362	163.4192174
363	163.3333807
364	162.9974604
365	162.894292
366	162.7456436
367	162.6267888
368	162.4428267
369	162.3634769
370	161.9386324
371	161.7595879
372	161.3500419
373	161.1875256
374	161.1031137
375	160.9441421
376	160.8007244
377	160.741208
378	160.7123051
379	160.6579299
380	160.5823052
381	160.1753
382	159.7755959
383	159.6694909
384	159.5969707
385	159.1508576
386	158.7690717
387	158.6795558
388	158.5633362
389	158.4116565
390	158.2577811
391	158.1731981
392	158.0179636
393	157.9258785
394	157.8722502
395	157.760369
396	157.6862459
397	157.6151284
398	157.5317752
399	157.1553798
400	156.7699268
401	156.4101068
402	156.2716056
403	156.0774099
404	155.9456145
405	155.8126951
406	155.5216525
407	155.3941889
408	155.2446955
409	155.1387579
410	155.0507593
411	154.8974864
412	154.545073
413	154.3838558
414	154.3124397
415	154.2022703
416	154.1458719
417	153.7938336
418	153.7542339
419	153.6446028
420	153.5485617
421	153.2070756
422	152.9694329
423	152.882987
424	152.7753917
425	152.6519075
426	152.5750193
427	152.2407377
428	152.2013606
429	152.0630277
430	151.9899494
431	151.9675722
432	151.8180155
433	151.61382
434	151.2857274
435	150.9475879
436	150.6413703
437	150.6057504
438	150.4739192
439	150.3813991
440	150.0812774
441	150.012082
442	149.9654731
443	149.8134804
444	149.7698969
445	149.6664617
446	149.6187416
447	149.587971
448	149.496066
449	149.4373797
450	149.0783677
451	149.0096179
452	148.906534
453	148.8223233
454	148.7546286
455	148.6038671
456	148.5671679
457	148.5267876
458	148.3670601
459	148.0773922
460	147.9730763
461	147.920439
462	147.863579
463	147.5730255
464	147.4167541
465	147.3329038
466	147.2667147
467	147.2129328
468	147.1452445
469	146.8599032
470	146.69529
471	146.4207093
472	146.3523832
473	146.2143666
474	146.1016428
475	145.9783247
476	145.9083638
477	145.7740408
478	145.7028077
479	145.6621328
480	145.5706467
481	145.5331739
482	145.5052172
483	145.446925
484	145.30176
485	145.2333831
486	145.1465922
487	145.079678
488	144.8165783
489	144.6636624
490	144.3909996
491	144.3158599
492	144.1882326
493	143.9218495
494	143.7908148
495	143.724378
496	143.6893882
497	143.5328788
498	143.2765752
499	143.1458101
500	143.0847838
501	142.9480394
502	142.6720584
503	142.4084738
504	142.3400217
505	142.3135845
506	142.2631306
507	142.1604504
508	141.9170985
509	141.7822111
510	141.7217726
511	141.6883569
512	141.438829
513	141.3102626
514	141.0811408
515	140.8175186
516	140.7370189
517	140.620492
518	140.505121
519	140.3906368
520	140.1640908
521	140.1319524
522	139.991256
523	139.8743297
524	139.7760606
525	139.6900533
526	139.4574593
527	139.2152719
528	138.9563856
529	138.8910283
530	138.8120807
531	138.5906847
532	138.4713406
533	138.398262
534	138.3734588
535	138.2239628
536	138.123101
537	137.9592247
538	137.8879537
539	137.8247225
540	137.7163665
541	137.6495476
542	137.3975987
