iter	Passed	Remaining
0	146	146026
1	150	75117
2	154	51461
3	159	39693
4	163	32558
5	167	27822
6	172	24515
7	177	21967
8	181	19981
9	185	18410
10	190	17112
11	193	15948
12	197	14967
13	200	14131
14	204	13417
15	207	12785
16	211	12204
17	215	11731
18	218	11273
19	222	10890
20	225	10532
21	229	10219
22	233	9929
23	238	9686
24	242	9470
25	247	9274
26	251	9080
27	256	8907
28	261	8767
29	266	8601
30	271	8486
31	275	8344
32	279	8191
33	284	8073
34	287	7937
35	291	7809
36	295	7688
37	298	7568
38	303	7472
39	307	7369
40	310	7269
41	314	7173
42	318	7089
43	321	6989
44	325	6902
45	328	6807
46	332	6733
47	335	6657
48	339	6583
49	342	6512
50	346	6444
51	347	6343
52	351	6281
53	354	6215
54	358	6158
55	362	6105
56	365	6048
57	369	5993
58	372	5941
59	376	5891
60	379	5845
61	383	5799
62	386	5753
63	390	5708
64	393	5658
65	396	5612
66	399	5569
67	403	5526
68	406	5487
69	410	5450
70	413	5411
71	417	5380
72	421	5346
73	424	5313
74	427	5277
75	431	5246
76	434	5213
77	438	5180
78	441	5149
79	445	5119
80	448	5094
81	452	5066
82	455	5037
83	459	5011
84	463	4985
85	464	4936
86	467	4910
87	471	4889
88	475	4863
89	478	4839
90	482	4818
91	485	4795
92	489	4770
93	492	4750
94	494	4714
95	498	4694
96	502	4674
97	505	4653
98	509	4635
99	512	4615
100	516	4594
101	519	4576
102	523	4557
103	526	4539
104	530	4522
105	534	4506
106	537	4488
107	541	4472
108	544	4454
109	548	4437
110	552	4421
111	555	4404
112	559	4389
113	562	4374
114	566	4357
115	570	4344
116	573	4328
117	577	4313
118	580	4297
119	584	4282
120	587	4268
121	591	4255
122	594	4241
123	598	4228
124	602	4214
125	605	4200
126	608	4186
127	612	4174
128	616	4159
129	619	4147
130	622	4131
131	625	4116
132	628	4100
133	631	4084
134	635	4071
135	638	4055
136	641	4041
137	644	4026
138	648	4014
139	651	4002
140	654	3989
141	658	3976
142	661	3963
143	664	3952
144	668	3940
145	671	3927
146	674	3915
147	678	3904
148	681	3893
149	684	3879
150	687	3867
151	691	3856
152	694	3846
153	698	3837
154	702	3828
155	705	3818
156	709	3807
157	712	3796
158	715	3786
159	719	3775
160	722	3765
161	725	3754
162	728	3743
163	732	3732
164	735	3721
165	738	3711
166	742	3703
167	745	3692
168	749	3683
169	752	3672
170	755	3663
171	759	3653
172	762	3645
173	765	3634
174	768	3624
175	772	3616
176	775	3606
177	779	3597
178	782	3589
179	785	3580
180	789	3571
181	792	3562
182	795	3553
183	799	3544
184	802	3536
185	806	3527
186	809	3519
187	812	3511
188	816	3502
189	819	3494
190	823	3487
191	826	3479
192	829	3469
193	832	3460
194	836	3451
195	839	3443
196	842	3434
197	845	3426
198	849	3417
199	852	3409
200	855	3401
201	858	3393
202	862	3385
203	865	3378
204	868	3368
205	871	3360
206	875	3352
207	878	3344
208	881	3337
209	885	3329
210	888	3322
211	891	3314
212	895	3307
213	898	3300
214	901	3292
215	905	3285
216	908	3278
217	912	3272
218	915	3265
219	919	3258
220	922	3251
221	925	3245
222	929	3238
223	932	3231
224	936	3224
225	939	3218
226	943	3211
227	946	3205
228	950	3198
229	953	3192
230	957	3185
231	960	3179
232	963	3171
233	966	3165
234	970	3159
235	973	3152
236	977	3146
237	980	3140
238	984	3134
239	987	3127
240	990	3120
241	994	3114
242	997	3107
243	1000	3101
244	1004	3094
245	1007	3088
246	1010	3081
247	1014	3075
248	1017	3068
249	1020	3061
250	1023	3054
251	1026	3047
252	1029	3041
253	1033	3034
254	1036	3028
255	1040	3022
256	1043	3017
257	1047	3011
258	1050	3005
259	1053	2998
260	1057	2993
261	1060	2987
262	1063	2981
263	1067	2976
264	1071	2970
265	1074	2964
266	1077	2958
267	1080	2952
268	1084	2945
269	1087	2940
270	1091	2934
271	1094	2929
272	1098	2924
273	1101	2918
274	1104	2912
275	1108	2906
276	1111	2900
277	1115	2896
278	1118	2889
279	1121	2883
280	1124	2877
281	1128	2872
282	1131	2866
283	1134	2861
284	1138	2855
285	1141	2849
286	1144	2844
287	1148	2838
288	1151	2833
289	1154	2827
290	1158	2822
291	1161	2817
292	1165	2811
293	1168	2806
294	1172	2800
295	1175	2796
296	1179	2791
297	1182	2785
298	1186	2780
299	1189	2775
300	1192	2770
301	1196	2764
302	1199	2759
303	1203	2754
