iter	RMSE
0	370.1963116
1	366.2305662
2	362.2743173
3	359.5856383
4	355.7451747
5	352.722934
6	349.1223487
7	346.0987699
8	342.6041861
9	339.1444774
10	335.5615362
11	332.0256405
12	328.6605342
13	325.1943359
14	321.8013125
15	318.4607982
16	315.1521796
17	312.5144657
18	309.3930043
19	306.2071869
20	304.8349139
21	304.6679635
22	304.0702635
23	300.9146653
24	297.8692641
25	294.9280099
26	294.7866473
27	294.6750531
28	294.5656901
29	294.4406937
30	292.956858
31	289.9754655
32	289.8925295
33	287.0358575
34	286.970513
35	284.058344
36	281.1964499
37	278.4248703
38	275.6317272
39	272.8562687
40	272.5096894
41	271.7652747
42	269.0595597
43	266.3934971
44	263.7255677
45	263.6178748
46	263.5757725
47	261.4880076
48	261.3517196
49	260.6431745
50	258.9925634
51	257.3288852
52	254.8022631
53	252.3253697
54	249.8396683
55	247.3884899
56	244.987995
57	242.6329546
58	240.3105523
59	237.9828768
60	236.9432697
61	235.6805795
62	234.4329817
63	232.1889199
64	231.6763987
65	229.4487661
66	227.2622498
67	225.0995394
68	222.956985
69	222.9157485
70	220.7907427
71	219.1325558
72	219.0951186
73	217.0220679
74	214.9829054
75	214.9607834
76	214.8096036
77	214.7403432
78	212.7327774
79	210.7403001
80	208.7856119
81	207.9939801
82	206.5568124
83	206.4100443
84	206.1161793
85	204.2123159
86	204.1637877
87	202.2657045
88	200.4230565
89	198.6096504
90	198.5652624
91	198.3252092
92	196.5039608
93	195.3109573
94	195.2440887
95	194.9424742
96	193.1792939
97	192.6255908
98	192.5319288
99	190.791056
100	190.7179865
101	190.6798295
102	190.6639876
103	188.9479833
104	187.2556058
105	187.2052148
106	185.5394785
107	183.8977386
108	183.1687103
109	183.1392638
110	181.4909775
111	181.4410337
112	181.1300158
113	179.5322728
114	178.2835048
115	176.7264791
116	175.2072489
117	173.699493
118	173.6515899
119	172.4698935
120	171.3212043
121	170.1057769
122	169.8755472
123	169.8274323
124	168.3859863
125	166.9221014
126	166.3697212
127	165.25058
128	165.0057072
129	163.8923745
130	163.8468763
131	162.7404366
132	161.3629963
133	160.0192405
134	158.688368
135	157.3678958
136	156.0807651
137	154.7820704
138	154.4310652
139	153.5437226
140	153.5078016
141	152.2734246
142	151.0426741
143	149.8045797
144	148.5869293
145	148.5502663
146	147.9876538
147	146.8129649
148	145.6646248
149	144.5336745
150	143.7824532
151	142.6652638
152	142.4554957
153	141.8406002
154	141.3418094
155	141.2336817
156	141.1707346
157	140.0758251
158	138.9989605
159	138.9408516
160	137.8795154
161	137.7688835
162	136.7320368
163	135.8525398
164	134.8585825
165	133.8755395
166	132.8921647
167	132.797787
168	131.8270999
169	131.7968999
170	130.8175573
171	130.7515842
172	129.7944486
173	129.7589451
174	129.011613
